title,image,year,price,author,rating,publisher,length,ISBN,city/country
The Spanish Love Deception,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3985/9781398515628.jpg,2021,15.74,Elena Armas,5,Simon & Schuster Ltd,480,9781398515628,"London, United Kingdom"
It Ends With Us: The most heartbreaking novel you'll ever read,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471156267.jpg,2016,16.77,Colleen Hoover,4.42,Simon & Schuster Ltd,384,9781471156267,"London, United Kingdom"
Immune,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529360684.jpg,2021,50.66,Philipp Dettmer,4.58,HODDER & STOUGHTON,368,9781529360684,"London, United Kingdom"
The Midnight Library,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7868/9781786892737.jpg,2021,15.0,Matt Haig,4.09,Canongate Books Ltd,304,9781786892737,"Edinburgh, United Kingdom"
Ugly Love,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471136726.jpg,2016,19.28,Colleen Hoover,4.26,Simon & Schuster Ltd,352,9781471136726,"London, United Kingdom"
The Love Hypothesis,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5933/9780593336823.jpg,2021,21.99,Ali Hazelwood,4.47,Penguin Putnam Inc,336,9780593336823,"New York, United States"
The Promise,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7847/9781784744069.jpg,2021,,Damon Galgut,4.09,Vintage Publishing,304,9781784744069,"London, United Kingdom"
Death to Jar Sauce,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7610/9781761045820.jpg,2021,28.9,Nat's What I Reckon,,PENGUIN AUSTRALIA,336,9781761045820,"Ferntree Gully, VIC, Australia"
"Jujutsu Kaisen, Vol. 9",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974718726.jpg,2021,14.43,Gege Akutami,4.65,"Viz Media, Subs. of Shogakukan Inc",192,9781974718726,"San Francisco, United States"
Dune,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4411/9780441172719.jpg,2011,19.8,Frank Herbert,4.24,Penguin Putnam Inc,896,9780441172719,"New York, United States"
The Dawn of Everything,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3741/9780374157357.jpg,2021,42.25,David Graeber,4.43,"Farrar, Straus and Giroux",704,9780374157357,New York
Seven Husbands of Evelyn Hugo,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3985/9781398515697.jpg,2021,16.91,Taylor Jenkins Reid,,Simon & Schuster Ltd,400,9781398515697,"London, United Kingdom"
Ur Special,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5933/9780593330104.jpg,2021,24.65,Danny Casale,5,Penguin Putnam Inc,192,9780593330104,United States
The Christmas Pig,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4449/9781444964912.jpg,2021,34.39,J. K. Rowling,4.2,Hachette Children's Group,320,9781444964912,"London, United Kingdom"
Heaven Official's Blessing,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6482/9781648279171.jpg,2021,23.16,Mo Xiang Tong Xiu,4.85,"Seven Seas Entertainment, LLC",544,9781648279171,"West Hollywood, United States"
Grandmaster of Demonic Cultivation,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6482/9781648279195.jpg,2021,23.16,Mo Xiang Tong Xiu,4.89,"Seven Seas Entertainment, LLC",504,9781648279195,"West Hollywood, United States"
Where the Crawdads Sing,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4721/9781472154668.jpg,2019,14.67,Delia Owens,4.46,"Little, Brown Book Group",384,9781472154668,"London, United Kingdom"
The Body Keeps the Score,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1419/9780141978611.jpg,2015,22.08,Bessel van der Kolk,4.44,Penguin Books Ltd,560,9780141978611,"London, United Kingdom"
"Jujutsu Kaisen, Vol. 7",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974717118.jpg,2020,14.56,Gege Akutami,4.59,"Viz Media, Subs. of Shogakukan Inc",192,9781974717118,"San Francisco, United States"
The Song of Achilles,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4088/9781408891384.jpg,2017,17.88,Madeline Miller,4.41,Bloomsbury Publishing PLC,368,9781408891384,"London, United Kingdom"
The Thursday Murder Club,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2419/9780241988268.jpg,2021,16.65,Richard Osman,3.97,Penguin Books Ltd,400,9780241988268,"London, United Kingdom"
Måndalen : Målarbok,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/1892/9789189298385.jpg,2021,30.15,Maria Trolle,,Bookmark Förlag,,9789189298385,
Harry Potter and the Chamber of Secrets: MinaLima Edition,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526637888.jpg,2021,54.62,J.K. Rowling,4.43,Bloomsbury Publishing Plc,400,9781526637888,"London, United Kingdom"
Normal People,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571334650.jpg,2019,15.84,Sally Rooney,3.85,Faber & Faber,288,9780571334650,"London, United Kingdom"
The Storyteller,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3985/9781398503700.jpg,2021,34.01,Dave Grohl,4.62,Simon & Schuster Ltd,384,9781398503700,"London, United Kingdom"
The Scum Villain's Self-Saving System,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6482/9781648279218.jpg,2021,23.16,Mo Xiang Tong Xiu,4.85,"Seven Seas Entertainment, LLC",400,9781648279218,"West Hollywood, United States"
The Real Anthony Fauci,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5107/9781510766808.jpg,2021,37.47,Robert F. Kennedy Jr.,5,Skyhorse Publishing,216,9781510766808,"New York, United States"
The Hating Game,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349414263.jpg,2017,14.31,Sally Thorne,4.1,"Little, Brown Book Group",384,9780349414263,"London, United Kingdom"
